event_id,time,angle,pol_x,pol_y,pol_z,energy
235,2.220224,13.950079,0.185998,0.000000,0.982550,30.000000
236,2.234793,14.041619,0.095402,0.000000,0.995439,30.000000
237,2.250765,14.141975,-0.004808,0.000000,0.999988,30.000000
238,2.251347,14.145628,-0.008461,0.000000,0.999964,30.000000
239,2.261156,14.207264,-0.070040,0.000000,0.997544,30.000000
240,2.266306,14.239618,-0.102272,0.000000,0.994757,30.000000
241,2.326196,14.615923,-0.460676,0.000000,0.887569,30.000000
242,2.327450,14.623801,-0.467654,0.000000,0.883912,30.000000
243,2.334955,14.670955,-0.508798,0.000000,0.860886,30.000000
244,2.344775,14.732658,-0.560915,0.000000,0.827873,30.000000
245,2.352609,14.781879,-0.600968,0.000000,0.799273,30.000000
246,2.355503,14.800064,-0.615403,0.000000,0.788212,30.000000
247,2.356656,14.807309,-0.621097,0.000000,0.783734,30.000000
248,2.359501,14.825180,-0.635003,0.000000,0.772509,30.000000
249,2.367261,14.873940,-0.671902,0.000000,0.740640,30.000000
250,2.383768,14.977657,-0.744970,0.000000,0.667098,30.000000
251,2.384464,14.982030,-0.747880,0.000000,0.663834,30.000000
252,2.384622,14.983019,-0.748536,0.000000,0.663094,30.000000
253,2.385568,14.988963,-0.752465,0.000000,0.658632,30.000000
254,2.418192,15.193947,-0.870777,0.000000,0.491678,30.000000
255,2.436629,15.309790,-0.921771,0.000000,0.387735,30.000000
256,2.451414,15.402687,-0.953764,0.000000,0.300556,30.000000
257,2.459029,15.450534,-0.967048,0.000000,0.254596,30.000000
258,2.471497,15.528875,-0.984006,0.000000,0.178133,30.000000
259,2.472227,15.533460,-0.984813,0.000000,0.173619,30.000000
260,2.474014,15.544686,-0.986700,0.000000,0.162553,30.000000
261,2.487869,15.631744,-0.997097,0.000000,0.076145,30.000000
262,2.492116,15.658426,-0.998773,0.000000,0.049517,30.000000
263,2.524381,15.861152,-0.988290,0.000000,-0.152590,30.000000
264,2.542066,15.972270,-0.965274,0.000000,-0.261240,30.000000
265,2.573179,16.167758,-0.896144,0.000000,-0.443764,30.000000
266,2.578258,16.199676,-0.881526,0.000000,-0.472136,30.000000
267,2.578497,16.201177,-0.880816,0.000000,-0.473459,30.000000
268,2.582810,16.228275,-0.867664,0.000000,-0.497151,30.000000
269,2.583386,16.231893,-0.865860,0.000000,-0.500287,30.000000
270,2.603871,16.360607,-0.794481,0.000000,-0.607289,30.000000
271,2.632643,16.541386,-0.672346,0.000000,-0.740237,30.000000
272,2.648777,16.642757,-0.593984,0.000000,-0.804477,30.000000
273,2.648927,16.643701,-0.593224,0.000000,-0.805037,30.000000
274,2.653420,16.671928,-0.570267,0.000000,-0.821459,30.000000
275,2.663265,16.733787,-0.518395,0.000000,-0.855141,30.000000
276,2.667245,16.758793,-0.496852,0.000000,-0.867836,30.000000
277,2.668642,16.767574,-0.489211,0.000000,-0.872165,30.000000
278,2.683265,16.859453,-0.407127,0.000000,-0.913371,30.000000
279,2.683545,16.861208,-0.405524,0.000000,-0.914084,30.000000
280,2.685504,16.873522,-0.394237,0.000000,-0.919009,30.000000
281,2.687434,16.885646,-0.383066,0.000000,-0.923721,30.000000
282,2.689963,16.901538,-0.368339,0.000000,-0.929692,30.000000
283,2.693342,16.922767,-0.348521,0.000000,-0.937301,30.000000
